title,kind,authors,publisher,published_on,source_url,licence,language,tags,summary
Central Information Commission Annual Report 2024-25,committee_report,Central Information Commission,Central Information Commission,2025-04-01,https://cic.gov.in/sites/default/files/Reports/AR2024-25E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2024-25 (Hindi),committee_report,Central Information Commission,Central Information Commission,2025-04-01,https://cic.gov.in/sites/default/files/Reports/AR2024-25H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2023-24,committee_report,Central Information Commission,Central Information Commission,2024-04-01,https://cic.gov.in/sites/default/files/Reports/AR2023-24E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2023-24 (Hindi),committee_report,Central Information Commission,Central Information Commission,2024-04-01,https://cic.gov.in/sites/default/files/Reports/AR2023-24H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2022-23,committee_report,Central Information Commission,Central Information Commission,2023-04-01,https://cic.gov.in/sites/default/files/Reports/AR2022-23E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2022-23 (Hindi),committee_report,Central Information Commission,Central Information Commission,2023-04-01,https://cic.gov.in/sites/default/files/Reports/AR2022-23H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2021-22,committee_report,Central Information Commission,Central Information Commission,2022-04-01,https://cic.gov.in/sites/default/files/Reports/AR2021-22E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2021-22 (Hindi),committee_report,Central Information Commission,Central Information Commission,2022-04-01,https://cic.gov.in/sites/default/files/Reports/AR2021-22H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2020-21,committee_report,Central Information Commission,Central Information Commission,2021-04-01,https://cic.gov.in/sites/default/files/Reports/AR2020-21E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2020-21 (Hindi),committee_report,Central Information Commission,Central Information Commission,2021-04-01,https://cic.gov.in/sites/default/files/Reports/AR2020-21H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2019-20,committee_report,Central Information Commission,Central Information Commission,2020-04-01,https://cic.gov.in/sites/default/files/Reports/AR2019-20E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2019-20 (Hindi),committee_report,Central Information Commission,Central Information Commission,2020-04-01,https://cic.gov.in/sites/default/files/Reports/AR2019-20H.pdf,gov_open,hi,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
Central Information Commission Annual Report 2018-19,committee_report,Central Information Commission,Central Information Commission,2019-04-01,https://cic.gov.in/sites/default/files/Reports/AR2018-19E.pdf,gov_open,en,rti;statistics;annual report;public authorities;all india,"Statutory annual report of the Central Information Commission under section 25 of the Right to Information Act 2005. The annexures give applications received, disposed, transferred and rejected by each registered central public authority, which is the underlying source for most published RTI rejection figures."
