title,kind,authors,publisher,published_on,source_url,licence,language,tags,summary
"The Right to Information Act, 2005",legislation,Parliament of India,India Code,2005-06-15,https://www.indiacode.nic.in/handle/123456789/2065,gov_open,en,rti;statute;transparency,"Act No. 22 of 2005. Establishes the practical regime of the right to information: section 6 for making a request, section 7 for the thirty-day reply period, section 8 for exemptions, section 18 for complaints and section 19 for appeals."
"सूचना का अधिकार अधिनियम, 2005",legislation,Parliament of India,Central Information Commission,2005-06-15,https://cic.gov.in/sites/default/files/rti-actinhindi.pdf,gov_open,hi,rti;statute;hindi,"The Right to Information Act 2005 in Hindi, as published by the Central Information Commission."
"Report Card of Information Commissions in India, 2024-25",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2025-10-01,https://www.snsindia.org/wp-content/uploads/2026/04/RC2025.pdf,linked_only,en,rti;information commissions;all states;backlog,"Annual assessment of every Information Commission in India, central and state, marking twenty years of the RTI Act. Measures appeals and complaints registered and disposed, pending caseload, time taken to dispose, penalties imposed for violations, and the transparency of each commission's own functioning."
"Report Card of Information Commissions in India, 2023-24",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2024-10-01,https://www.snsindia.org/wp-content/uploads/2025/02/RC2024.pdf,linked_only,en,rti;information commissions;all states;backlog,"Nineteenth-year assessment of the central and state Information Commissions, on the same measures, allowing year-on-year comparison of each state's RTI regime."
"Report Card of Information Commissions in India, 2022-23",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2023-10-01,https://www.snsindia.org/wp-content/uploads/2024/02/Report-Card-2023-full-with-cover.pdf,linked_only,en,rti;information commissions;all states,"Eighteenth-year assessment of the central and state Information Commissions."
"Report Card of Information Commissions in India, 2021-22",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2022-10-01,https://www.snsindia.org/wp-content/uploads/2022/12/Report-Card-2022.pdf,linked_only,en,rti;information commissions;all states,"Seventeenth-year assessment of the central and state Information Commissions."
"Adjudicating the RTI Act: An Analysis of Orders",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2019-10-01,https://www.snsindia.org/wp-content/uploads/2019/10/Adjudicating-the-RTI-Act-FINAL.pdf,linked_only,en,rti;appeals;adjudication;order quality,"Analysis of orders passed by the Central Information Commission, examining whether orders record the facts required, apply the Act's provisions correctly, and give reasons a reader can follow."
"Tilting the Balance of Power: Adjudicating the RTI Act",report,Satark Nagrik Sangathan; RaaG,Satark Nagrik Sangathan,2017-07-01,https://www.snsindia.org/wp-content/uploads/2017/07/Adjudicating-the-RTI-Act-2nd-edition-2017.pdf,linked_only,en,rti;appeals;adjudication;rajasthan;bihar;assam,"Study of roughly two thousand orders from the central commission and the state commissions of Rajasthan, Bihar and Assam, assessing the quality and consistency of RTI adjudication."
"Peoples' Monitoring of the RTI Regime in India, 2011-13",report,RaaG; Satark Nagrik Sangathan,RaaG,2014-01-01,https://www.snsindia.org/wp-content/uploads/2024/01/Report-RaaG-2014.pdf,linked_only,en,rti;national study;implementation,"National study of how the RTI Act is actually used and answered, covering the central government and five state governments."
"Status of Information Commissions in India during the Covid-19 Crisis",report,Satark Nagrik Sangathan,Satark Nagrik Sangathan,2020-05-01,https://www.snsindia.org/wp-content/uploads/2020/05/IC-Covid19.pdf,linked_only,en,rti;information commissions;covid-19,"Assessment of whether Information Commissions continued to function during the Covid-19 lockdown, and what happened to pending appeals."
"Month-wise RTI applications filed on the RTI Online portal",dataset,Department of Personnel and Training,Open Government Data Platform India,2024-06-30,https://www.data.gov.in/resource/month-wise-total-number-right-information-rti-applications-requests-filed-rti-online,gov_open,en,rti;statistics;volume,"Monthly count of RTI applications filed through the central RTI Online portal, June 2021 to June 2024. Volume only - it says nothing about what was asked or what came back."
